time_step,road_segment_id,local_car_density,average_speed_kmph,brake_events,phantom_jam_flag
0,39,5,101.8,0,0
1,29,24,82.54,0,0
2,15,28,16.52,0,0
3,43,43,115.34,1,0
4,8,17,26.26,4,0
5,21,37,92.01,0,0
6,39,20,79.98,1,0
7,19,3,30.63,4,0
8,23,37,28.78,4,1
9,11,26,105.74,3,0
10,11,15,56.17,2,0
11,24,48,82.0,0,0
12,36,8,65.45,1,0
13,40,13,90.01,4,0
14,24,48,62.72,3,0
15,3,3,41.61,2,0
16,22,1,49.97,4,0
17,2,9,104.5,4,0
18,24,31,61.48,0,0
19,44,41,33.48,2,1
20,30,26,112.81,2,0
21,38,17,97.63,1,0
22,2,34,16.12,3,1
23,21,9,119.88,1,0
24,33,13,86.44,3,0
25,12,5,27.63,1,0
26,22,41,36.09,3,1
27,44,13,86.17,0,0
28,25,1,95.77,3,0
29,49,25,36.29,1,0
30,27,47,38.27,2,1
31,42,4,43.78,4,0
32,28,36,75.78,3,0
33,16,10,28.9,3,0
34,15,28,21.47,2,0
35,47,6,84.68,0,0
36,44,27,95.7,1,0
37,3,12,65.1,0,0
38,37,48,50.02,3,0
39,7,3,57.52,3,0
40,21,46,52.72,0,0
41,9,33,115.6,1,0
42,39,10,94.49,3,0
43,18,31,32.89,3,1
44,4,15,52.26,0,0
45,25,7,69.84,4,0
46,14,36,77.43,2,0
47,9,14,61.5,3,0
48,26,48,99.11,1,0
49,2,14,94.44,4,0
50,20,3,65.57,0,0
51,28,49,103.99,0,0
52,47,46,92.62,1,0
53,7,3,95.64,4,0
54,44,22,115.2,1,0
55,8,19,39.31,3,0
56,47,35,39.44,4,1
57,35,12,107.78,2,0
58,14,5,94.94,2,0
59,17,10,111.92,1,0
60,36,41,16.94,2,1
61,40,33,79.05,1,0
62,4,13,25.91,3,0
63,2,35,65.43,3,0
64,6,32,27.13,1,1
65,42,11,24.09,3,0
66,4,48,11.34,2,1
67,29,38,79.33,3,0
68,18,24,49.49,2,0
69,26,35,21.57,2,1
70,44,19,45.51,0,0
71,34,6,28.58,3,0
72,10,40,113.59,3,0
73,36,45,45.2,1,0
74,14,44,46.73,1,0
75,31,42,102.38,4,0
76,48,35,81.25,2,0
77,15,4,88.12,0,0
78,8,33,79.96,2,0
79,14,13,114.08,3,0
80,23,36,32.77,4,1
81,40,43,118.79,2,0
82,21,19,101.41,4,0
83,16,43,74.79,2,0
84,45,12,82.86,3,0
85,18,11,81.37,3,0
86,47,6,16.42,2,0
87,24,12,33.98,0,0
88,26,27,115.76,3,0
89,25,41,68.78,1,0
90,45,25,51.62,0,0
91,41,42,93.82,2,0
92,29,3,67.7,0,0
93,15,3,11.45,1,0
94,45,20,90.99,3,0
95,1,28,90.54,3,0
96,25,23,28.17,3,0
97,7,48,115.23,1,0
98,9,3,34.63,0,0
99,24,42,60.35,2,0
100,1,24,22.62,2,0
101,44,43,76.36,0,0
102,8,40,51.3,3,0
103,24,6,48.85,2,0
104,11,20,100.97,3,0
105,17,11,11.05,4,0
106,8,32,97.77,4,0
107,35,27,72.86,2,0
108,35,21,118.47,0,0
109,33,44,74.84,0,0
110,5,48,16.09,0,0
111,42,13,15.57,3,0
112,39,22,107.15,4,0
113,41,35,102.53,3,0
114,28,47,48.05,1,0
115,7,22,77.98,1,0
116,9,28,63.86,2,0
117,8,21,116.39,1,0
118,12,46,114.5,0,0
119,34,18,118.22,2,0
120,33,31,105.31,4,0
121,48,46,110.05,4,0
122,23,37,33.9,1,1
123,24,21,101.41,1,0
124,37,14,87.97,4,0
125,35,25,115.91,1,0
126,44,27,72.84,1,0
127,40,40,19.37,3,1
128,22,23,75.71,4,0
129,27,31,85.52,4,0
130,35,47,34.24,1,1
131,1,29,53.35,0,0
132,35,47,75.84,3,0
133,37,30,51.15,0,0
134,47,26,51.24,1,0
135,14,20,24.64,4,0
136,3,38,113.48,0,0
137,1,19,92.55,2,0
138,5,27,10.14,0,0
139,26,25,94.22,4,0
140,14,40,91.38,1,0
141,39,38,11.07,0,0
142,27,23,50.66,1,0
143,9,29,76.74,3,0
144,15,15,59.8,2,0
145,15,3,95.58,4,0
146,26,10,56.8,4,0
147,42,15,26.92,1,0
148,13,16,117.41,2,0
149,32,17,36.62,4,0
150,39,19,88.95,0,0
151,49,11,25.75,4,0
152,32,48,46.19,0,0
153,4,5,58.62,4,0
154,30,5,31.15,0,0
155,37,14,59.5,3,0
156,23,26,27.29,1,0
157,39,8,71.49,3,0
158,45,5,83.01,0,0
159,15,7,16.87,1,0
160,43,16,105.82,2,0
161,29,14,30.37,0,0
162,36,37,34.79,4,1
163,13,41,82.75,4,0
164,32,4,61.56,2,0
165,7,36,64.93,3,0
166,22,48,24.1,0,0
167,28,17,98.63,4,0
168,2,47,77.88,1,0
169,42,36,24.89,2,1
170,45,6,51.14,3,0
171,6,16,99.15,3,0
172,28,29,72.52,1,0
173,28,36,21.95,1,1
174,44,38,51.01,2,0
175,44,37,36.7,1,1
176,20,48,66.92,4,0
177,30,48,102.77,3,0
178,11,10,57.99,1,0
179,28,41,57.67,0,0
180,25,36,109.59,1,0
181,39,29,73.38,3,0
182,33,14,72.28,4,0
183,1,4,38.81,1,0
184,27,44,76.85,4,0
185,13,42,73.35,0,0
186,41,36,53.65,3,0
187,3,45,118.98,2,0
188,39,13,107.01,3,0
189,6,46,92.45,2,0
190,8,18,69.11,2,0
191,27,33,60.83,3,0
192,9,21,30.34,2,0
193,37,16,43.63,4,0
194,33,15,95.14,0,0
195,42,5,59.91,1,0
196,44,6,107.05,2,0
197,24,38,26.27,2,1
198,15,3,65.92,3,0
199,32,48,81.17,4,0
200,32,12,66.85,1,0
201,24,36,107.81,2,0
202,41,33,118.85,4,0
203,49,36,22.74,1,1
204,49,33,24.3,3,1
205,12,31,24.34,2,1
206,39,21,84.93,3,0
207,2,27,50.99,3,0
208,3,27,90.66,2,0
209,49,8,54.6,4,0
210,37,37,79.04,4,0
211,49,32,94.68,3,0
212,17,26,70.3,3,0
213,49,2,69.35,0,0
214,2,12,19.71,1,0
215,2,22,55.19,3,0
216,28,17,70.04,3,0
217,23,7,60.82,1,0
218,37,43,109.09,2,0
219,32,4,109.72,4,0
220,33,37,100.41,2,0
221,1,38,51.28,1,0
222,19,32,88.9,1,0
223,2,11,53.48,0,0
224,44,1,35.59,0,0
225,26,25,47.72,4,0
226,32,42,17.81,3,1
227,6,24,46.5,1,0
228,32,43,60.68,0,0
229,4,17,115.1,2,0
230,11,8,44.48,0,0
231,17,45,109.27,2,0
232,38,27,35.17,0,0
233,24,18,31.01,2,0
234,5,27,67.09,0,0
235,34,22,83.98,0,0
236,6,16,14.88,4,0
237,22,2,34.32,3,0
238,11,5,60.13,1,0
239,48,18,46.41,3,0
240,16,3,88.39,4,0
241,33,27,66.23,2,0
242,9,17,27.64,3,0
243,6,16,108.39,1,0
244,16,6,42.22,1,0
245,29,7,90.42,2,0
246,3,14,95.79,1,0
247,20,38,115.95,4,0
248,36,40,64.84,3,0
249,19,15,77.74,1,0
250,26,47,46.84,3,0
251,3,47,84.6,0,0
252,19,48,60.97,3,0
253,20,33,58.14,2,0
254,32,43,104.1,4,0
255,7,27,15.52,1,0
256,41,29,107.02,4,0
257,33,37,103.73,3,0
258,40,5,65.7,1,0
259,39,29,63.92,4,0
260,18,32,49.8,2,0
261,40,6,119.36,0,0
